runid,timestamp,partnum,equipid,hv,mag,wd,det,tilt,feat1,feat2,feat3,particle
8571,11/13/2014 9:01:15.0,1095-00,10083,2,562,11,SE1,0,2.5,2,2,
8571,11/13/2014 9:08:12.1,1095-00,10083,2,562,11,SE1,0,2.5,2,2,
8571,11/13/2014 9:15:09.2,1095-00,10083,2,562,11,SE1,0,2.5,2.01,2,
8571,11/13/2014 9:22:06.3,1095-00,10083,2,562,11,SE1,0,2.5,2,2,
8571,11/13/2014 9:29:03.4,1095-00,10083,2,562,11,SE1,0,2.5,2,2,
8571,11/13/2014 9:36:00.5,1095-00,10083,2,562,11,SE1,0,2.5,2,2,"488,14,28,20"
8571,11/13/2014 9:42:57.6,1095-00,10083,2,562,11,SE1,0,2.5,2,2,
8571,11/13/2014 9:49:54.7,1095-00,10083,2,562,11,SE1,0,2.5,1.99,2,
8571,11/13/2014 9:56:51.8,1095-00,10083,2,562,11,SE1,0,2.5,2,2,
8571,11/13/2014 10:03:48.9,1095-00,10083,2,562,11,SE1,0,2.5,2,2,
8571,11/13/2014 10:10:46.0,1095-00,10083,2,562,11,SE1,0,2.5,2,2,"831,153,12,41;432,232,10,8"
8571,11/13/2014 10:17:43.1,1095-00,10083,2,562,11,SE1,0,2.5,2,2,
8571,11/13/2014 10:24:40.2,1095-00,10083,2,562,11,SE1,0,2.5,2,2,
8571,11/13/2014 10:31:37.3,1095-00,10083,2,562,11,SE1,0,2.5,2,2,
8571,11/13/2014 10:38:34.3,1095-00,10083,2,562,11,SE1,0,2.5,2,2,
8571,11/13/2014 10:45:31.4,1095-00,10083,2,562,11,SE1,0,2.5,1.99,2,
